pickup_number,material_quantity,city_name,state_name,location_pincode,hub_id
420599,642.66,PALAKKAD,KERALA,678014,30
42A039,371.10,PALAKKAD,KERALA,678501,30
42A201,152.87,PALAKKAD,KERALA,678014,30
42A445,1879.44,PALAKKAD,KERALA,678006,30
42A032,1219.81,THRISSUR,KERALA,679105,30
42A503,326.34,PALAKKAD,KERALA,678582,30
420968,244.92,MALAPPURAM,KERALA,676522,30
42A384,724.78,MALAPPURAM,KERALA,676504,30
420960,1596.71,MALAPPURAM,KERALA,679322,30
421031,605.58,MALAPPURAM,KERALA,676121,30
421541,887.07,MALAPPURAM,KERALA,676541,30
421533,771.23,PALAKKAD,KERALA,679313,30
42A432,880.58,MALAPPURAM,KERALA,679576,30
42A398,306.58,MALAPPURAM,KERALA,676552,30
42A365,660.67,MALAPPURAM,KERALA,676551,30
42A510,463.14,MALAPPURAM,KERALA,676109,30
421642,100.24,KOZHIKODE,KERALA,673001,30
42A308,836.10,MALAPPURAM,KERALA,673637,30
42A368,398.09,KOZHIKODE,KERALA,673631,30
421016,3919.96,KOZHIKODE,KERALA,673012,30
421479,865.38,KOZHIKODE,KERALA,673012,30
42A482,740.16,KOZHIKODE,KERALA,673524,30
42A514,636.80,KOZHIKODE,KERALA,673573,30
420938,526.01,KANNUR,KERALA,670103,30
42A171,1082.56,KOZHIKODE,KERALA,673102,30
421477,881.28,WAYANAD,KERALA,673121,30
42A164,524.71,KANNUR,KERALA,670703,30
421054,494.06,KANNUR,KERALA,670001,30
42A217,389.33,KANNUR,KERALA,670013,30
42A518,156.64,KANNUR,KERALA,670014,30
42A048,371.12,KANNUR,KERALA,670327,30
420932,102.05,KANNUR,KERALA,670502,30
42A496,681.80,KANNUR,KERALA,670009,30
420952,369.98,KASARAGOD,KERALA,671121,30
421606,246.91,KASARAGOD,KERALA,671322,30
42A050,789.03,KASARAGOD,KERALA,671315,30
421561,8626.25,ERNAKULAM,KERALA,682305,30
42A359,9049.95,ERNAKULAM,KERALA,682305,30
TCMOOV02,1939.70,ERNAKULAM,KERALA,686673,30
42A003,247.37,THRISSUR,KERALA,680305,30
42A043,1040.86,THRISSUR,KERALA,680306,30
42A394,151.37,THRISSUR,KERALA,680103,30
42A513,230.95,THRISSUR,KERALA,680631,30
420826,866.76,THRISSUR,KERALA,680121,30
42A522,715.84,THRISSUR,KERALA,680308,30
420550,166.16,ERNAKULAM,KERALA,683101,30
420621,116.63,ERNAKULAM,KERALA,680667,30
420823,312.59,KOTTAYAM,KERALA,686572,30
42A461,600.22,ERNAKULAM,KERALA,683541,30
490129,239.36,KOTTAYAM,KERALA,686631,30
42A031,5.64,ALAPPUZHA,KERALA,688012,30
42A049,390.39,KOTTAYAM,KERALA,686006,30
42A435,876.30,ALAPPUZHA,KERALA,688524,30
42A521,149.56,ALAPPUZHA,KERALA,690572,30
420741,582.60,KOTTAYAM,KERALA,686101,30
421529,112.01,PATHANAMTHITTA,KERALA,689581,30
490153,50.86,PATHANAMTHITTA,KERALA,689645,30
42A382,732.33,PATHANAMTHITTA,KERALA,689641,30
421192,1512.14,PATHANAMTHITTA,KERALA,689101,30
421466,48.35,PATHANAMTHITTA,KERALA,689107,30
421591,335.15,KOLLAM,KERALA,691560,30
42A448,352.93,KOLLAM,KERALA,690523,30
42A462,539.93,KOLLAM,KERALA,691505,30
421551,409.54,KOLLAM,KERALA,691571,30
42A385,463.89,KOLLAM,KERALA,691571,30
42A407,243.01,KOLLAM,KERALA,691501,30
42A459,258.64,KOLLAM,KERALA,691505,30
421214,3094.67,THIRUVANANTHAPURAM,KERALA,695123,30
42A437,288.63,THIRUVANANTHAPURAM,KERALA,695541,30
42A443,281.28,THIRUVANANTHAPURAM,KERALA,695607,30
42A499,1210.65,THIRUVANANTHAPURAM,KERALA,695104,30
421590,333.39,THIRUVANANTHAPURAM,KERALA,695573,30
421593,702.99,THIRUVANANTHAPURAM,KERALA,695573,30
42A460,589.14,THIRUVANANTHAPURAM,KERALA,695005,30
42A529,176.31,THIRUVANANTHAPURAM,KERALA,695013,30
42A532,26.86,THIRUVANANTHAPURAM,KERALA,695013,30
TCTRVM02,518.93,THIRUVANANTHAPURAM,KERALA,695026,30
490135,339.13,IDUKKI,KERALA,685508,30
42A040,158.47,IDUKKI,KERALA,685561,30
42A456,204.02,IDUKKI,KERALA,685508,30
