pickup_number,material_quantity,city_name,state_name,location_pincode,hub_id
420599,642.66,PALAKKAD,KERALA,678014,30
42A039,371.1,PALAKKAD,KERALA,678501,30
42A201,152.87,PALAKKAD,KERALA,678014,30
42A445,1879.44,PALAKKAD,KERALA,678006,30
42A032,1219.81,THRISSUR,KERALA,679105,30
42A503,326.34,PALAKKAD,KERALA,678582,30
420968,244.92,MALAPPURAM,KERALA,676522,30
42A384,724.78,MALAPPURAM,KERALA,676504,30
420960,1596.71,MALAPPURAM,KERALA,679322,30
421031,605.58,MALAPPURAM,KERALA,676121,30
421541,887.07,MALAPPURAM,KERALA,676541,30
421533,771.23,PALAKKAD,KERALA,679313,30
42A432,880.58,MALAPPURAM,KERALA,679576,30
